id;title;price;promo_price;url
3153451;Погрузчик Mobicaro YS263137;1999 RUB;1499 RUB;https://www.detmir.ru/product/index/id/3153451/
2864651;Машинка Mobicaro Пожарная инерционная;899 RUB;609 RUB;https://www.detmir.ru/product/index/id/2864651/
3153385;Модель сборная Mobicaro Бульдозер с шуруповертом-двигателем 7128608;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153385/
3189300;Коврик игровой TOCAGO LED TPM-001A;1759 RUB;1299 RUB;https://www.detmir.ru/product/index/id/3189300/
3088536;Трактор Zebratoys Active с ковшом и прицепом Синий 15-10173;1149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088536/
3696572;Трактор Bruder Fendt 1050 Vario с фигуркой и аксессуарами 04-041;9149 RUB;5485 RUB;https://www.detmir.ru/product/index/id/3696572/
4481069;Машинка Hot Wheels РУ Бэтмобиль HBL43;2299 RUB;1249 RUB;https://www.detmir.ru/product/index/id/4481069/
3269266;Машинка Mobicaro 1:12 Автокран инерционная WY812A;1999 RUB;1779 RUB;https://www.detmir.ru/product/index/id/3269266/
3931519;Набор Bruder полицейского с мотоциклом 62-732;5971 RUB;3587 RUB;https://www.detmir.ru/product/index/id/3931519/
3507556;Набор машинок Hot Wheels 5шт GMY09;2999 RUB;2140 RUB;https://www.detmir.ru/product/index/id/3507556/
3269265;Машинка Mobicaro 1:12 Бетономешалка инерционная WY811A;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269265/
3228697;Машина Driven Мусоровоз Зеленый WH1003Z;6499 RUB;5999 RUB;https://www.detmir.ru/product/index/id/3228697/
3682479;Мотоцикл Bruder с фигуркой полицейского 62-731;3339 RUB;2166 RUB;https://www.detmir.ru/product/index/id/3682479/
3178171;Мини-погрузчик Bruder Cat 02-481;3120 RUB;1719 RUB;https://www.detmir.ru/product/index/id/3178171/
3117510;Поезд Mobicaro инерционный YS248459;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3117510/
3696712;Автомобиль Bruder Roadstar спортивный c водителем 03-481;5673 RUB;3399 RUB;https://www.detmir.ru/product/index/id/3696712/
3200865;Экскаватор Rhino Construction Спецтехника мини 30044;799 RUB;509 RUB;https://www.detmir.ru/product/index/id/3200865/
3682482;Машина Bruder Roadster спортивная с фигуркой 03-485;5179 RUB;3659 RUB;https://www.detmir.ru/product/index/id/3682482/
2405461;Набор Mobicaro Город ковер 80*70см с машинками;699 RUB;399 RUB;https://www.detmir.ru/product/index/id/2405461/
3430154;Машина Технопарк Автотрейлер 279720;2799 RUB;1475 RUB;https://www.detmir.ru/product/index/id/3430154/
3194028;Машина Bruder Schaffer Погрузчик с рулоном 02-192;3755 RUB;2144 RUB;https://www.detmir.ru/product/index/id/3194028/
3153389;Модель сборная Mobicaro Мусоровоз с шуруповертом-двигателем 7128678;1999 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3153389/
2865241;Трактор Mobicaro с прицепом;199 RUB;109 RUB;https://www.detmir.ru/product/index/id/2865241/
3153382;Машинка Mobicaro 1:72 7128814 в ассортименте;199 RUB;109 RUB;https://www.detmir.ru/product/index/id/3153382/
3117509;Автобус Mobicaro инерционный YS248456;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3117509/
3269267;Машинка Mobicaro 1:12 Уборочная инерционная WY830C;1999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269267/
3657482;Набор машинок Monster Jam мини 5шт 6061232;1599 RUB;999 RUB;https://www.detmir.ru/product/index/id/3657482/
3682478;Внедорожник Bruder с велосипедистом и фигуркой 02-543;7939 RUB;5302 RUB;https://www.detmir.ru/product/index/id/3682478/
3088538;Экскаватор Zebratoys Active Зеленый;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088538/
3194027;Трактор Bruder Massey Ferguson 02-046;9357 RUB;4800 RUB;https://www.detmir.ru/product/index/id/3194027/
3193548;Машина Hot Wheels Turbo Tuning Синий 51170;1399 RUB;1319 RUB;https://www.detmir.ru/product/index/id/3193548/
3657483;Набор Monster Jam Ловушка для мини машинок 6060718;2789 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3657483/
3931517;Набор Bruder Автозаправка с автомойкой и аксессуарами 62-111;10178 RUB;6107 RUB;https://www.detmir.ru/product/index/id/3931517/
3269276;Погрузчик Mobicaro 1:16 инерционный WY691A;1199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269276/
41911;Самосвал Bruder MAN 1:16;4917 RUB;3935 RUB;https://www.detmir.ru/product/index/id/41911/
3092798;Бензовоз Bruder Man Tgs 03-775;8345 RUB;7799 RUB;https://www.detmir.ru/product/index/id/3092798/
3020784;Трактор Zebratoys с ковшом и прицепом Active;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020784/
3153386;Модель сборная Mobicaro Бетономешалка с шуруповертом-двигателем 7128619;1899 RUB;999 RUB;https://www.detmir.ru/product/index/id/3153386/
3020785;Экскаватор Zebratoys Active;599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020785/
4481146;Машинка Hot Wheels Монстр-трак Грузовик-транспортер Рино Риг HFB13;4769 RUB;3999 RUB;https://www.detmir.ru/product/index/id/4481146/
3193553;Машина Hot Wheels Mighty Speeders Sharkruiser 51206;599 RUB;399 RUB;https://www.detmir.ru/product/index/id/3193553/
3269277;Машинка Mobicaro 1:16 Снегоуборщик инерционная WY681A;1199 RUB;849 RUB;https://www.detmir.ru/product/index/id/3269277/
3020788;Трактор Zebratoys с ковшом Active Синий;749 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020788/
3724960;Машина Mobicaro 1:14 Пожарная 666-58P;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3724960/
3269275;Машинка Mobicaro 1:16 Автокран инерционная WY310E;1199 RUB;749 RUB;https://www.detmir.ru/product/index/id/3269275/
2405491;Набор Mobicaro Побережье ковер 80*120см с машинками;849 RUB;589 RUB;https://www.detmir.ru/product/index/id/2405491/
3194030;Машина Bruder Mercedes-Benz Самосвал с мини погрузчиком 03-624;12891 RUB;7739 RUB;https://www.detmir.ru/product/index/id/3194030/
2447451;Набор Mobicaro Полиция ковер 80*70см с машинками;599 RUB;389 RUB;https://www.detmir.ru/product/index/id/2447451/
546681;Машинка Mobicaro Ударник 51 см;699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/546681/
3193550;Машина Hot Wheels Turbo Tuning Трак 51170;1499 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3193550/
3269251;Машинка Mobicaro Бетономешалка фрикционная A6677-2;999 RUB;658 RUB;https://www.detmir.ru/product/index/id/3269251/
2865231;Набор Mobicaro Фермерская техника;149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865231/
3682477;Трактор Bruder John Deere с прицепом 62-104;4479 RUB;3583 RUB;https://www.detmir.ru/product/index/id/3682477/
3086540;Машинка Mobicaro Профи Самосвал 40-0057;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3086540/
3200837;Набор Bruder Ремонтный для мотоцикла 62-101;3999 RUB;2499 RUB;https://www.detmir.ru/product/index/id/3200837/
7681;Экскаватор Bruder 1:16 Liebherr;3212 RUB;2092 RUB;https://www.detmir.ru/product/index/id/7681/
3626997;Машинка Givito Автовоз Мой город с тоннелем + 5 машинок вертолет 10 дорожных знаков;3130 RUB;2535 RUB;https://www.detmir.ru/product/index/id/3626997/
3269272;Экскаватор Mobicaro 1:16 инерционный WY380A;1699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269272/
3020795;Самосвал Zebratoys Малыш;299 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020795/
2864731;Самосвал Mobicaro со световыми и звуковыми эффектами 1:12;1799 RUB;1319 RUB;https://www.detmir.ru/product/index/id/2864731/
3020783;Трактор Zebratoys Active с ковшом 15-5224;499 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3020783/
3430135;Локомотив Технопарк 284122;1629 RUB;999 RUB;https://www.detmir.ru/product/index/id/3430135/
3226422;Игрушка Нордпласт Ракетная установка Щит 259/1;2624 RUB;1650 RUB;https://www.detmir.ru/product/index/id/3226422/
3193547;Машина Hot Wheels Street Creatures T-Rextroyer 51201;999 RUB;699 RUB;https://www.detmir.ru/product/index/id/3193547/
3141708;Машина Нордпласт Большегруз Аризона 431520;5880 RUB;3789 RUB;https://www.detmir.ru/product/index/id/3141708/
3200866;Машина Road Rippers Maximum Boost Голубая 20051;2999 RUB;1829 RUB;https://www.detmir.ru/product/index/id/3200866/
3724956;Грузовик Mobicaro 1:14 с подъемным краном 666-51P;2199 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3724956/
3441672;Машина Bruder Mercedes-Benz Sprinter Дорожная служба 02-537;7434 RUB;5605 RUB;https://www.detmir.ru/product/index/id/3441672/
3931440;Экскаватор Bruder Cat 02-483;9839 RUB;6163 RUB;https://www.detmir.ru/product/index/id/3931440/
3193542;Машина Hot Wheels Monster Action Street Creeper 51203;2499 RUB;1799 RUB;https://www.detmir.ru/product/index/id/3193542/
3848710;Машинка BochArt Синий трактор с прицепом;4397 RUB;3385 RUB;https://www.detmir.ru/product/index/id/3848710/
2864621;Бетономешалка Mobicaro инерционная со световыми и звуковыми эффектами;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2864621/
3269249;Машинка Mobicaro Полиция фрикционная A5577-4;1149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269249/
3788964;Трактор Полесье Belarus 89397;499 RUB;429 RUB;https://www.detmir.ru/product/index/id/3788964/
2864641;Автовышка Mobicaro инерционная;799 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2864641/
3194034;Мини-экскаватор Bruder Cat 02-466;7568 RUB;4741 RUB;https://www.detmir.ru/product/index/id/3194034/
2916271;Машинка-трансформер Rastar 1:32 Красная;1250 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2916271/
3931526;Трактор Bruder Deutz Agrotron X720 с погрузчиком 03-081;5699 RUB;4031 RUB;https://www.detmir.ru/product/index/id/3931526/
3088534;Автомобиль с платформой Zebratoys Active Синий;1499 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088534/
1813931;Машина Bruder Cross с гонщиком Синяя 02-541;4156 RUB;Отсутствует;https://www.detmir.ru/product/index/id/1813931/
3269250;Машинка Mobicaro Самосвал фрикционная A6677-1;899 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269250/
2865311;Трактор Mobicaro инерционный со световыми и звуковыми эффектами с аксессуарами;999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865311/
2865291;Набор Mobicaro Фермерская техника Лесовоз;699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865291/
3228698;Машина Driven Мусоровоз Оранжевый WH1100Z;6439 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3228698/
3724959;Эвакуатор Mobicaro 1:14 666-55P;2299 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3724959/
3635158;Машина SAVAGE +Динозавр Зеленый 75780;2399 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3635158/
3200833;Набор Bruder Ремонтный для автомобиля 62-110;12213 RUB;7331 RUB;https://www.detmir.ru/product/index/id/3200833/
2916281;Машинка-трансформер Rastar 1:32 Желтая;1250 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2916281/
3863971;Игрушка Технопарк Самолет Истребитель 312265;1799 RUB;1199 RUB;https://www.detmir.ru/product/index/id/3863971/
3627255;Машинка Givito Автовоз-тягач трехуровневый черный + 8 гоночных машин;2805 RUB;2272 RUB;https://www.detmir.ru/product/index/id/3627255/
3635156;Машина BOLEY Динозавр Красный M16258;1499 RUB;899 RUB;https://www.detmir.ru/product/index/id/3635156/
3682480;Машина Bruder Land Rover полицейский с прицепом 02-588;10789 RUB;8622 RUB;https://www.detmir.ru/product/index/id/3682480/
3931524;Мотоцикл Bruder Scrambler Ducati с мотоциклистом 63-051;3149 RUB;1999 RUB;https://www.detmir.ru/product/index/id/3931524/
2551151;Транспорт B.Battat Мини автокран WH1011Z;1599 RUB;1109 RUB;https://www.detmir.ru/product/index/id/2551151/
3228694;Машина Driven (Battat) Подъемник микро WH1074Z;1599 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3228694/
3219170;Машина Dickie Мусоровоз Зеленый 3308378;4590 RUB;3309 RUB;https://www.detmir.ru/product/index/id/3219170/
3030033;Трактор Bruder John Deere 7930 03-050;4831 RUB;3949 RUB;https://www.detmir.ru/product/index/id/3030033/
3193544;Машина Hot Wheels Blazing Cruiser Quick N sik Зеленые колеса 51200;999 RUB;699 RUB;https://www.detmir.ru/product/index/id/3193544/
2865261;Трактор Mobicaro Сельхозтехника инерционная;149 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865261/
3335285;Автомобиль Zebratoys Малыш Коммунальная служба 15-0005;299 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3335285/
2612891;Пожарная машина Battat с краном (свет/звук);5999 RUB;4609 RUB;https://www.detmir.ru/product/index/id/2612891/
2865251;Набор Mobicaro Сельхозтехника инерционная;99 RUB;Отсутствует;https://www.detmir.ru/product/index/id/2865251/
3153383;Машинка Mobicaro 1:48 7128941 в ассортименте;249 RUB;179 RUB;https://www.detmir.ru/product/index/id/3153383/
2405481;Набор игровой Mobicaro Пожарная часть коврик 80х70 см + машинки;599 RUB;379 RUB;https://www.detmir.ru/product/index/id/2405481/
3722785;Коврик игровой TOCAGO LED TM2021;1299 RUB;799 RUB;https://www.detmir.ru/product/index/id/3722785/
3269252;Машинка Mobicaro Погрузчик фронтальный фрикционная A6677-5;999 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269252/
3026121;Набор игровой Zebratoys Самосвал c каской и инструментами;699 RUB;579 RUB;https://www.detmir.ru/product/index/id/3026121/
3023546;Трактор Bruder Claas Nectis 267 F;2596 RUB;2199 RUB;https://www.detmir.ru/product/index/id/3023546/
2321151;Экскаватор JCB 18см;749 RUB;529 RUB;https://www.detmir.ru/product/index/id/2321151/
3931520;Набор Bruder Спасательная станция 62-780;9296 RUB;4961 RUB;https://www.detmir.ru/product/index/id/3931520/
4490990;Автомобиль-кран Полесье Volvo с поворотной платформой 58324;2999 RUB;1765 RUB;https://www.detmir.ru/product/index/id/4490990/
2186021;Кран Полесье Муромец  с поворотной платформой;1479 RUB;996 RUB;https://www.detmir.ru/product/index/id/2186021/
2864741;Экскаватор Mobicaro со световыми и звуковыми эффектами 1:12;2199 RUB;1519 RUB;https://www.detmir.ru/product/index/id/2864741/
3294821;Набор Dickie транспортер +2машинки 3745012;1890 RUB;1300 RUB;https://www.detmir.ru/product/index/id/3294821/
3634947;Машинка Givito Автовоз Полицейский участок с тоннелем + 5 машинок вертолет 10 дорожных знаков;3130 RUB;2535 RUB;https://www.detmir.ru/product/index/id/3634947/
3430138;Машина Технопарк Автобус 298916;1999 RUB;999 RUB;https://www.detmir.ru/product/index/id/3430138/
4578859;Кейс для хранения машинок Hot Wheels HWCC2 сине-оранжевый;1687 RUB;Отсутствует;https://www.detmir.ru/product/index/id/4578859/
1935191;Спецтехника Нордпласт Мусоровоз 49 см;1997 RUB;1229 RUB;https://www.detmir.ru/product/index/id/1935191/
3030029;Трактор Bruder с погрузчиком 03-051;5847 RUB;4678 RUB;https://www.detmir.ru/product/index/id/3030029/
3269273;Машинка Mobicaro 1:16 РСЗО инерционная WY650D;1299 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3269273/
3228704;Машина Driven Кран WH1101Z;8999 RUB;8149 RUB;https://www.detmir.ru/product/index/id/3228704/
3176681;Эвакуатор Driven микро WH1008Z;1599 RUB;1149 RUB;https://www.detmir.ru/product/index/id/3176681/
1430351;Мини Самосвал JCB 18см;749 RUB;529 RUB;https://www.detmir.ru/product/index/id/1430351/
3931437;Мотоцикл Bruder Scrambler Ducati с мотоциклистом Желтый 63-053;3664 RUB;2201 RUB;https://www.detmir.ru/product/index/id/3931437/
3446819;Машина CAT Самосвал Т19130;9599 RUB;5099 RUB;https://www.detmir.ru/product/index/id/3446819/
3931522;Мотоцикл Bruder водный с фигуркой 63-151;4004 RUB;1852 RUB;https://www.detmir.ru/product/index/id/3931522/
3228703;Машина Driven (Battat) Пожарная микро WH1128Z;1399 RUB;999 RUB;https://www.detmir.ru/product/index/id/3228703/
3088539;Трактор Zebratoys Active с прицепом 15-5229;699 RUB;Отсутствует;https://www.detmir.ru/product/index/id/3088539/
1935131;Игрушка Нордпласт Танк Тарантул 251;252 RUB;Отсутствует;https://www.detmir.ru/product/index/id/1935131/
3696711;Комбайн Bruder Claas Jaguar кормоуборочный 02-134;10789 RUB;6217 RUB;https://www.detmir.ru/product/index/id/3696711/
2405471;Набор Mobicaro Ферма (коврик 80*70см+машинки);499 RUB;379 RUB;https://www.detmir.ru/product/index/id/2405471/
3446805;Машина CAT Самосвал Т19116;3599 RUB;1960 RUB;https://www.detmir.ru/product/index/id/3446805/
3030021;Трактор Bruder John Deere 1210E с прицепом;8437 RUB;7650 RUB;https://www.detmir.ru/product/index/id/3030021/
3410654;Машина Funky Toys 1:43 Пожарная с выдвижной лестницей FT61094;999 RUB;787 RUB;https://www.detmir.ru/product/index/id/3410654/
2551111;Транспорт B.Battat Автокран WH1002Z;5999 RUB;4589 RUB;https://www.detmir.ru/product/index/id/2551111/
3616384;Инерционная машинка LampStory джип;3499 RUB;1364 RUB;https://www.detmir.ru/product/index/id/3616384/
3550182;Танк Global Bros 15-0009;849 RUB;649 RUB;https://www.detmir.ru/product/index/id/3550182/
